CompanyID,CIK,AddedDate,CloseDate,DaysToClose,WeeksToClose,CompanyStatus,Platform,FundraisingType,EquityType,Industry,Valuation,MinimumInvestment,RoundMinimum,RoundMaximum,Raised,PercentOfGoal,RaisedAmountBucket,SuccessStatus,Investors,CompanyName
335,1719701,2017-11-10,2017-12-16,36,5.1,Successful Raise,Microventures,Crowdfunding,SAFE/CN,Food & Beverage,,$100,"$50,000","$107,000","$66,761",62.4%,#NAME?,#NAME?,113,Palm & Bean
345,1719193,2017-11-14,2018-04-30,167,23.9,Successful Raise,Wefunder,Crowdfunding,Equity,"Medical, Health and Well Being",,$100,"$50,000","$1,070,000","$187,233",17.5%,#NAME?,#NAME?,80,Yopi
344,1679372,2017-11-14,2018-03-16,122,17.4,Failed To Raise,Republic,Crowdfunding,SAFE/CN,Media and Publishing,,$25,"$25,000","$535,000","$12,555",2.3%,#NAME?,#NAME?,51,Youngry
353,1721627,2017-11-17,2018-05-13,177,25.3,Failed To Raise,Wefunder,Crowdfunding,Debt,Other,,$100,"$100,000","$107,000","$2,400",2.2%,#NAME?,#NAME?,6,Amici Montessori Language Academy 
352,,2017-11-17,2018-01-10,54,7.7,Failed To Raise,Wefunder,Crowdfunding,Equity,Technology/Software,,$250,"$100,000","$325,000","$13,850",4.3%,#NAME?,#NAME?,13,Jarrett and Raja
351,1721907,2017-11-17,2018-02-15,90,12.9,Successful Raise,StartEngine,Crowdfunding,Equity,Technology/Software,,$100,"$10,000","$100,000","$13,400",13.4%,#NAME?,#NAME?,23,HireJoe
350,1721278,2017-11-17,2018-01-17,61,8.7,Failed To Raise,StartEngine,Crowdfunding,Equity,Technology/Software,,$500,"$10,000","$107,000","$3,010",2.8%,#NAME?,#NAME?,6,WangleSpace
349,1701370,2017-11-17,2018-04-15,149,21.3,Successful Raise,StartEngine,Crowdfunding,Equity,"Medical, Health and Well Being",,$200,"$10,000","$55,300","$11,386",20.6%,#NAME?,#NAME?,20,Zoi
348,,2017-11-17,2018-01-19,63,9.0,Failed To Raise,SeedInvest,CF and Reg D,Equity,Consumer Products & Services,,$500,"$200,000","$1,000,000","$1,500",0.2%,#NAME?,#NAME?,0,Find Me Ink
347,1722191,2017-11-17,2018-01-26,70,10.0,Failed To Raise,SeedInvest,CF and Reg D,Debt,Food & Beverage,,$500,"$250,000","$500,000","$58,200",11.6%,#NAME?,#NAME?,0,4 Pure
346,1715895,2017-11-17,2018-02-28,103,14.7,Failed To Raise,Republic,Crowdfunding,SAFE/CN,Technology/Software,,$50,"$25,000","$107,000","$25,800",24.1%,#NAME?,#NAME?,110,Coding Autism
364,1722317,2017-11-22,2018-02-28,98,14.0,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Other,,"$1,000","$50,000","$800,000","$78,624",9.8%,#NAME?,#NAME?,58,Impact Science Education
363,1695282,2017-11-22,2018-05-18,177,25.3,Failed To Raise,Wefunder,Crowdfunding,SAFE/CN,Consumer Products & Services,,$250,"$150,000","$300,000","$27,251",9.1%,#NAME?,#NAME?,24,Fortress Presents
362,1723082,2017-11-22,2018-04-30,159,22.7,Successful Raise,StartEngine,Crowdfunding,SAFE/CN,Other,,$500,"$10,000","$1,070,000","$471,719",44.1%,#NAME?,#NAME?,312,Farm.One
